"model","period","estimand","measure","share_from","share_to","mean","median","sd","lower_95","upper_95","probability_above_null","probability_above_threshold","probability_in_rope"
"sensitivity_linear","competition","adoption_ratio","prevalence_ratio",0,0.5,1.14569992348694,1.11887241709015,0.202725801544319,0.827403515020802,1.59960111406926,0.7545,0.54225,0.19625
"sensitivity_linear","competition","dose_difference","prevalence_difference",0.360227272727273,0.714285714285714,0.0601240522149651,0.0592973634851726,0.0330051183940511,-0.00305162134375293,0.125593424578157,0.9685,0.608,0.103
"sensitivity_linear","competition","dose_ratio","prevalence_ratio",0.360227272727273,0.714285714285714,1.15515231051942,1.14830204596074,0.0912673496051069,0.992862453480127,1.34415309451016,0.9685,0.715,0.1095
"sensitivity_wide_prior","preparation","prevalence_nonuser","prevalence",NA,0,0.298173063302645,0.296820417278012,0.050218772670153,0.203944527142338,0.401986621232866,NA,NA,NA
"sensitivity_wide_prior","preparation","prevalence_median_user","prevalence",NA,0.421052631578947,0.371614250433008,0.371287015120465,0.0333875033579918,0.30646771449824,0.438781377873756,NA,NA,NA
"sensitivity_wide_prior","preparation","prevalence_low_user","prevalence",NA,0.285714285714286,0.351866065827758,0.351548803823631,0.0396410364211132,0.276817452699764,0.432409201056718,NA,NA,NA
"sensitivity_wide_prior","preparation","prevalence_high_user","prevalence",NA,0.571428571428571,0.344762912918352,0.344389217479448,0.0423322439835466,0.263572928666461,0.431273383191864,NA,NA,NA
"sensitivity_wide_prior","preparation","adoption_difference","prevalence_difference",0,0.421052631578947,0.0734411871303621,0.0752645922844151,0.0604688108340492,-0.0502177088715008,0.190720475903379,0.88225,0.658,0.1215
"sensitivity_wide_prior","preparation","adoption_ratio","prevalence_ratio",0,0.421052631578947,1.28372160086044,1.25418578634446,0.256373923737893,0.866797360345067,1.90300359530495,0.88225,0.7545,0.10875
"sensitivity_wide_prior","preparation","dose_difference","prevalence_difference",0.285714285714286,0.571428571428571,-0.00710315290940612,-0.00771470848526809,0.0613087822482379,-0.124866493275076,0.116337508204806,0.45175,0.177,0.257
"sensitivity_wide_prior","preparation","dose_ratio","prevalence_ratio",0.285714285714286,0.571428571428571,0.994276552423418,0.978345519767577,0.178744140797296,0.691318824710015,1.39476483478817,0.45175,0.2545,0.2235
"sensitivity_wide_prior","competition","prevalence_nonuser","prevalence",NA,0,0.371446067565369,0.371321138441974,0.0612666247762559,0.256551143556305,0.495933394421002,NA,NA,NA
"sensitivity_wide_prior","competition","prevalence_median_user","prevalence",NA,0.5,0.433296107612421,0.434205873958498,0.0341772561428204,0.366278375745922,0.498837417739458,NA,NA,NA
"sensitivity_wide_prior","competition","prevalence_low_user","prevalence",NA,0.360227272727273,0.341945253484824,0.341230463835678,0.0433930426243089,0.260845141044411,0.428151018579815,NA,NA,NA
"sensitivity_wide_prior","competition","prevalence_high_user","prevalence",NA,0.714285714285714,0.528499611752906,0.528491462784189,0.0439662480975598,0.444631363189966,0.613707505053498,NA,NA,NA
"sensitivity_wide_prior","competition","adoption_difference","prevalence_difference",0,0.5,0.0618500400470521,0.0618950811038105,0.0687396410900711,-0.0793482121747037,0.193925587821027,0.81775,0.576,0.1485
"sensitivity_wide_prior","competition","adoption_ratio","prevalence_ratio",0,0.5,1.19941460935473,1.16701131660448,0.22607669429899,0.833345745757698,1.73192257012661,0.81775,0.637,0.1555
"sensitivity_wide_prior","competition","dose_difference","prevalence_difference",0.360227272727273,0.714285714285714,0.186554358268083,0.187563664441163,0.0690630483431143,0.052357745074016,0.319205202676008,0.995,0.97625,0.00725
"sensitivity_wide_prior","competition","dose_ratio","prevalence_ratio",0.360227272727273,0.714285714285714,1.57545565033743,1.55223692582396,0.271206903823721,1.12557303973934,2.18198247560019,0.995,0.983,0.0085
